D1:2
D10:2
D11:2
D12:2
D13:2
D14:2
D15:2
D16:2
D17:2
D18:2
D19:2
D2:2
D20:2
D21:2
D3:2
D4:2
D5:2
D6:2
D7:2
D8:2
D9:2
J1:2
REF**:14
SW1:2
SW10:2
SW11:2
SW12:2
SW13:2
SW14:2
SW15:2
SW16:2
SW17:2
SW18:2
SW19:2
SW2:2
SW20:2
SW21:2
SW22:2
SW23:2
SW3:2
SW4:2
SW5:2
SW6:2
SW7:2
SW8:2
SW9:2
U1:2
