Designator,Footprint,Quantity,Value,LCSC Part #
"D1_2, D1, D10_2, D10, D11_2, D11, D12_2, D12, D13_2, D13, D14_2, D14, D15_2, D15, D16_2, D16, D17_2, D17, D18_2, D18, D19_2, D19, D2_2, D2, D20_2, D20, D21_2, D21, D3_2, D3, D4_2, D4, D5_2, D5, D6_2, D6, D7_2, D7, D8_2, D8, D9_2, D9",Diode_DO-35,42,1N4148,
"J1_2, J1",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,Conn_01x02,
"SW1_2, SW1, SW10_2, SW10, SW11_2, SW11, SW12_2, SW12, SW13_2, SW13, SW14_2, SW14, SW15_2, SW15, SW16_2, SW16, SW17_2, SW17, SW18_2, SW18, SW19_2, SW19, SW2_2, SW2, SW20_2, SW20, SW3_2, SW3, SW4_2, SW4, SW5_2, SW5, SW6_2, SW6, SW7_2, SW7, SW8_2, SW8, SW9_2, SW9",Hotswap_Choc_V1_1.00u,40,Keyswitch,
"SW21_2, SW21",Hotswap_Choc_V1_1.50u,2,Keyswitch,
"SW22_2, SW22",Panasonic_EVQPUJ_EVQPUA,2,SW_Push,
"SW23_2, SW23",Switch_MSK12C02,2,SW_SPST,
